"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","NumStdMetrics","Value","IntStatusRaw","IntStatusRaw_Short","IntStatus_Short","RapidStatus","BinLabel","BinPath","RapidScore","RelLBMCat","AbsLBMCat","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelUBMCat","AbsUBMCat","RelAbdCat","AbsAbdCat","RelAbd_LBM","RelAbd_UBM","SpnForAbd_Total","SpnForTrend_Total","ConfidenceRating5","ConfidenceRating3","ConfidenceRating2","IntStatus5","IntStatus3","IntStatus2"
"Case1","Chinook","CU1_Chinook","Abs_Abd",2006,65531,65531,2.12189794310313,28.9660288213008,150,38.4771,9.7667,NA,1.07949274480307,2.89660288213008,6,28966.0288213008,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",13651,26833,65531,65531,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2007,17298,17298,1.7763779581321,24.2493355064613,126,-22.1357,46.3,NA,0.903713170590738,2.42493355064613,6,24249.3355064613,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Amber",NA,NA,"Amber","Green","Amber","Green",13651,26833,17298,17298,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2008,14906,14906,1.71545482270973,23.4176737848105,123,-36.1847,62.5667,NA,0.872719181038665,2.34176737848105,6,23417.6737848105,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,14906,14906,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2009,24936,24936,1.86635039032248,25.4775491782922,132,-49.6812,82.2333,NA,0.949485677273961,2.54775491782922,6,25477.5491782922,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,24936,24936,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2010,79259,79259,1.95723796024859,26.7182553953535,133,-14.1375,40.3,NA,0.995723750432435,2.67182553953535,6,26718.2553953535,"Blue","Blue","Blue","Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",13651,26833,79259,79259,"High","High","Moderate","Blue","Blue","Blue"
"Case1","Chinook","CU1_Chinook","Abs_Abd",2011,19300,19300,2.01156460040979,27.459868360194,137,-14.9947,40.8333,NA,1.02336184400529,2.7459868360194,6,27459.868360194,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Green","Green","Green","Green",NA,NA,"Green","Green","Green","Green",13651,26833,19300,19300,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2012,3648,3648,1.41484027005593,19.3139845265335,101,-65.6491,85.2333,NA,0.719784762290221,1.93139845265335,6,19313.9845265335,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,3648,3648,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2013,24169,24169,1.40383280087802,19.1637215647858,100,-61.2242,80.4,NA,0.714184830797368,1.91637215647858,6,19163.7215647858,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Red",NA,NA,"Amber","Green","Amber","Green",13651,26833,24169,24169,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2014,46158,46158,1.2263515494798,16.7409250019487,85,-19.6546,46.5667,NA,0.623893154024847,1.67409250019487,6,16740.9250019487,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Amber",NA,NA,"Amber","Green","Amber","Green",13651,26833,46158,46158,"High","High","Moderate",NA,NA,NA
"Case1","Chinook","CU1_Chinook","Abs_Abd",2015,42282,42282,1.49198527647061,20.3670910091003,102,25.7482,25.8333,NA,0.759031454146024,2.03670910091003,6,20367.0910091003,NA,NA,NA,"Amber","Node37","AbsLBM = NA OR AbsLBM >= 1.5, then AbsUBM = NA OR AbsUBM >= 1, then Have RelLBM, then RelLBM >= 1, then RelUBM < 1.1",3,"Amber","Green","Green","Green",NA,NA,"Amber","Green","Amber","Green",13651,26833,42282,42282,"High","High","Moderate",NA,NA,NA
