"CU_ID","Year","Value"
"Case1",1995,21855.943515063
"Case1",1996,24698.0799203392
"Case1",1997,25988.9048544477
"Case1",1998,25618.296945124
"Case1",1999,33401.9670010064
"Case1",2000,30824.7082850307
"Case1",2001,34596.2210734159
"Case1",2002,38406.6478317237
"Case1",2003,36107.5911023302
"Case1",2004,32325.4336466518
"Case1",2005,27864.9719285239
"Case1",2006,28966.0288213008
"Case1",2007,24249.3355064613
"Case1",2008,23417.6737848105
"Case1",2009,25477.5491782922
"Case1",2010,26718.2553953535
"Case1",2011,27459.868360194
"Case1",2012,19313.9845265335
"Case1",2013,19163.7215647858
"Case1",2014,16740.9250019487
"Case1",2015,20367.0910091003
"Case1",2016,23621.163216145
"Case1",2017,20264.2164546722
"Case1",2018,15820.7755839088
"Case1",2019,14249.3082286595
"Case1",2020,19705.5071092156
"Case1",2021,24385.1520068173
"Case1",2022,29285.777771397
"Case1",2023,38625.899371848
"Case2",1995,2732.89930395003
"Case2",1996,4090.99231130386
"Case2",1997,4068.58923669669
"Case2",1998,5809.67261094819
"Case2",1999,9410.70598120225
"Case2",2000,10277.4182810479
"Case2",2001,16199.4396553877
"Case2",2002,20738.1968172346
"Case2",2003,22156.4500295836
"Case2",2004,12377.052162044
"Case2",2005,12030.8465494797
"Case2",2006,8997.78487215124
"Case2",2007,9974.97998334276
"Case2",2008,10519.516650655
"Case2",2009,8368.90135052922
"Case2",2010,7976.81565545127
"Case2",2011,6949.69732998125
"Case2",2012,5725.01577857438
"Case2",2013,6304.95230227194
"Case2",2014,8652.78711287497
"Case2",2015,10189.7423717098
"Case2",2016,12287.288365144
"Case2",2017,8675.54021160955
"Case2",2018,5833.91372058278
"Case2",2019,2593.06606726277
"Case2",2020,2403.43828898863
"Case2",2021,2294.67489708002
"Case2",2022,2334.20412554041
"Case3",1995,7695.60009356953
"Case3",1996,9944.00090830677
"Case3",1997,14481.2101107861
"Case3",1998,28773.0964915603
"Case3",1999,35504.2827324722
"Case3",2000,29786.2966172216
"Case3",2001,30956.9294886688
"Case3",2002,29383.103230796
"Case3",2003,36968.1664811726
"Case3",2004,46157.7551013268
"Case3",2005,53978.9945996023
"Case3",2006,66374.3331569111
"Case3",2007,70390.7725100903
"Case3",2008,83465.7274621946
"Case3",2009,79415.2228742014
"Case3",2010,72633.7308310153
"Case3",2011,85670.1260292584
"Case3",2012,75451.9698159779
"Case3",2013,83297.8926557883
"Case3",2014,69161.5695707444
"Case3",2015,72406.4702007366
"Case3",2016,85277.7598840533
"Case3",2017,80546.220987345
"Case3",2018,74296.0975320697
"Case3",2019,75982.5550096581
"Case3",2020,100963.353684558
"Case3",2021,121059.96877441
"Case3",2022,156646.309821152
"Case3",2023,221993.279374534
"Case4",1995,1263.89206310378
"Case4",1996,1272.07890961463
"Case4",1997,1357.631979949
"Case4",1998,2332.9455665018
"Case4",1999,1990.04489639459
"Case4",2000,2481.73502367975
"Case4",2001,4031.63051786923
"Case4",2002,6074.10078704043
"Case4",2003,12042.6855555323
"Case4",2004,14885.5182562055
"Case4",2005,11949.1488092344
"Case4",2006,10938.4456151999
"Case4",2007,8767.39341263595
"Case4",2008,4682.16663316424
"Case4",2009,5013.37338248745
"Case4",2010,4215.17632020414
"Case4",2011,4519.93436779915
"Case4",2012,4640.49233199873
"Case4",2013,4644.29203776912
"Case4",2014,3891.60218306242
"Case4",2015,4036.66852482257
"Case4",2016,4604.82279177759
"Case4",2017,4510.17407491925
"Case4",2018,2975.28992105591
"Case4",2019,873.897338790824
"Case4",2020,416.770446965963
"Case4",2021,318.335475254833
"Case4",2022,337.949106767169
"Case4",2023,721.975585090047
"Case5",1995,NA
"Case5",1996,NA
"Case5",1997,NA
"Case5",1998,NA
"Case5",1999,NA
"Case5",2000,NA
"Case5",2001,NA
"Case5",2002,NA
"Case5",2003,NA
"Case5",2004,NA
"Case5",2005,NA
"Case5",2006,NA
"Case5",2007,NA
"Case5",2008,NA
"Case5",2009,12.4714785315049
"Case5",2010,7.61350819167864
"Case5",2011,9.32460511105626
"Case5",2012,9.12395865581764
"Case5",2013,14.0176415536193
"Case5",2014,24.9272833521072
"Case5",2015,33.681749124286
"Case5",2016,46.7996310862947
"Case5",2017,51.4570626798105
"Case5",2018,34.4114117896874
"Case5",2019,24.7283235089792
"Case5",2020,29.0417217595422
"Case5",2021,31.7084418278692
"Case5",2022,40.2641224402628
"Case5",2023,38.2273401065942
"Case6",1995,NA
"Case6",1996,NA
"Case6",1997,NA
"Case6",1998,NA
"Case6",1999,NA
"Case6",2000,3932.36600273017
"Case6",2001,4051.40266009567
"Case6",2002,3957.2438507379
"Case6",2003,4698.83824407914
"Case6",2004,4672.72425556552
"Case6",2005,3928.9297660922
"Case6",2006,2775.65313804033
"Case6",2007,2152.61909444777
"Case6",2008,1710.29008108492
"Case6",2009,1930.44174126197
"Case6",2010,1801.77031674243
"Case6",2011,2540.21326892579
"Case6",2012,3315.96700257407
"Case6",2013,4454.31665883533
"Case6",2014,3073.85475446657
"Case6",2015,1258.09163701176
"Case6",2016,753.56487170277
"Case6",2017,877.891923745936
"Case6",2018,2114.12562671855
"Case6",2019,2983.13504685334
"Case6",2020,4398.36073377147
"Case6",2021,3449.7830355191
"Case6",2022,4324.56077404444
"Case6",2023,4450.84795691331
