"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","RelAbd","AbsAbd","NumStdMetrics","Value"
"Case2","Sockeye","CU2_Sockeye",2007,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,9974.97998334276
"Case2","Sockeye","CU2_Sockeye",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",6,10519.516650655
"Case2","Sockeye","CU2_Sockeye",2009,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,8368.90135052922
"Case2","Sockeye","CU2_Sockeye",2010,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,7976.81565545127
"Case2","Sockeye","CU2_Sockeye",2011,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,6949.69732998125
"Case2","Sockeye","CU2_Sockeye",2012,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,5725.01577857438
"Case2","Sockeye","CU2_Sockeye",2013,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,6304.95230227194
"Case2","Sockeye","CU2_Sockeye",2014,"Abs_Abd","Amber","Amber","Green","Red",NA,"Green","Amber","Amber","Amber","Amber",6,8652.78711287497
"Case2","Sockeye","CU2_Sockeye",2015,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",6,10189.7423717098
"Case2","Sockeye","CU2_Sockeye",2016,"Abs_Abd","Amber","Green","Green","Amber",NA,"Green","Amber","Green","Amber","Green",6,12287.288365144
"Case2","Sockeye","CU2_Sockeye",2017,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,8675.54021160955
"Case2","Sockeye","CU2_Sockeye",2018,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",6,5833.91372058278
"Case2","Sockeye","CU2_Sockeye",2019,"Abs_Abd","Red","Amber","Green","Red",NA,"Green","Red","Amber","Red","Amber",6,2593.06606726277
"Case2","Sockeye","CU2_Sockeye",2020,"Abs_Abd","Red","Amber","Green","Red",NA,"Amber","Red","Amber","Red","Amber",6,2403.43828898863
"Case2","Sockeye","CU2_Sockeye",2021,"Abs_Abd","Red","Amber","Amber","Red",NA,"Amber","Red","Amber","Red","Amber",6,2294.67489708002
"Case2","Sockeye","CU2_Sockeye",2022,"Abs_Abd","Red","Amber","Amber","Red",NA,"Amber","Red","Amber","Red","Amber",6,2334.20412554041
"Case3","Chinook","CU3_Chinook",1995,"Rel_Idx",NA,NA,"Green","Red",NA,NA,NA,NA,NA,NA,2,7695.60009356953
"Case3","Chinook","CU3_Chinook",1996,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,9944.00090830677
"Case3","Chinook","CU3_Chinook",1997,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,14481.2101107861
"Case3","Chinook","CU3_Chinook",1998,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,28773.0964915603
"Case3","Chinook","CU3_Chinook",1999,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,35504.2827324722
"Case3","Chinook","CU3_Chinook",2000,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,29786.2966172216
"Case3","Chinook","CU3_Chinook",2001,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,30956.9294886688
"Case3","Chinook","CU3_Chinook",2002,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,29383.103230796
"Case3","Chinook","CU3_Chinook",2003,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,36968.1664811726
"Case3","Chinook","CU3_Chinook",2004,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,46157.7551013268
"Case3","Chinook","CU3_Chinook",2005,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,53978.9945996023
"Case3","Chinook","CU3_Chinook",2006,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,66374.3331569111
"Case3","Chinook","CU3_Chinook",2007,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,70390.7725100903
"Case3","Chinook","CU3_Chinook",2008,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,83465.7274621946
"Case3","Chinook","CU3_Chinook",2009,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,79415.2228742014
"Case3","Chinook","CU3_Chinook",2010,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,72633.7308310153
"Case3","Chinook","CU3_Chinook",2011,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,85670.1260292584
"Case3","Chinook","CU3_Chinook",2012,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,75451.9698159779
"Case3","Chinook","CU3_Chinook",2013,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,83297.8926557883
"Case3","Chinook","CU3_Chinook",2014,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,69161.5695707444
"Case3","Chinook","CU3_Chinook",2015,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,72406.4702007366
"Case3","Chinook","CU3_Chinook",2016,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,85277.7598840533
"Case3","Chinook","CU3_Chinook",2017,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,80546.220987345
"Case3","Chinook","CU3_Chinook",2018,"Rel_Idx",NA,NA,"Green","Amber",NA,NA,NA,NA,NA,NA,2,74296.0975320697
"Case3","Chinook","CU3_Chinook",2019,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,75982.5550096581
"Case3","Chinook","CU3_Chinook",2020,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,100963.353684558
"Case3","Chinook","CU3_Chinook",2021,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,121059.96877441
"Case3","Chinook","CU3_Chinook",2022,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,156646.309821152
"Case3","Chinook","CU3_Chinook",2023,"Rel_Idx",NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,2,221993.279374534
"Case4","Sockeye","CU4_Sockeye",1995,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1263.89206310378
"Case4","Sockeye","CU4_Sockeye",1996,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1272.07890961463
"Case4","Sockeye","CU4_Sockeye",1997,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1357.631979949
"Case4","Sockeye","CU4_Sockeye",1998,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,2332.9455665018
"Case4","Sockeye","CU4_Sockeye",1999,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,1990.04489639459
"Case4","Sockeye","CU4_Sockeye",2000,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,2481.73502367975
"Case4","Sockeye","CU4_Sockeye",2001,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,4031.63051786923
"Case4","Sockeye","CU4_Sockeye",2002,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,6074.10078704043
"Case4","Sockeye","CU4_Sockeye",2003,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,12042.6855555323
"Case4","Sockeye","CU4_Sockeye",2004,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,14885.5182562055
"Case4","Sockeye","CU4_Sockeye",2005,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,11949.1488092344
"Case4","Sockeye","CU4_Sockeye",2006,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,10938.4456151999
"Case4","Sockeye","CU4_Sockeye",2007,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,8767.39341263595
"Case4","Sockeye","CU4_Sockeye",2008,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,4682.16663316424
"Case4","Sockeye","CU4_Sockeye",2009,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,5013.37338248745
"Case4","Sockeye","CU4_Sockeye",2010,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,4215.17632020414
"Case4","Sockeye","CU4_Sockeye",2011,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2,4519.93436779915
"Case4","Sockeye","CU4_Sockeye",2012,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,4640.49233199873
"Case4","Sockeye","CU4_Sockeye",2013,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,4644.29203776912
"Case4","Sockeye","CU4_Sockeye",2014,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,3891.60218306242
"Case4","Sockeye","CU4_Sockeye",2015,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,4036.66852482257
"Case4","Sockeye","CU4_Sockeye",2016,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,4604.82279177759
"Case4","Sockeye","CU4_Sockeye",2017,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,4510.17407491925
"Case4","Sockeye","CU4_Sockeye",2018,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,2975.28992105591
"Case4","Sockeye","CU4_Sockeye",2019,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,873.897338790824
"Case4","Sockeye","CU4_Sockeye",2020,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,416.770446965963
"Case4","Sockeye","CU4_Sockeye",2021,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2,318.335475254833
"Case4","Sockeye","CU4_Sockeye",2022,"Rel_Idx",NA,NA,"Amber","Red",NA,"Green",NA,NA,NA,NA,2,337.949106767169
"Case4","Sockeye","CU4_Sockeye",2023,"Rel_Idx",NA,NA,"Amber","Red",NA,"Green",NA,NA,NA,NA,2,721.975585090047
"Case5","Chinook","CU5_Chinook",1995,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",1996,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",1997,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",1998,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",1999,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2000,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2001,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2002,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2003,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2004,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2005,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2006,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2007,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2008,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Case5","Chinook","CU5_Chinook",2009,"Abs_Abd",NA,"Red",NA,NA,NA,NA,NA,"Red",NA,"Red",2,12.4714785315049
"Case5","Chinook","CU5_Chinook",2010,"Abs_Abd",NA,"Red",NA,NA,NA,NA,NA,"Red",NA,"Red",2,7.61350819167864
